,PA18:PM10,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2020-01-01 01:00:00Z,59.2,37.2,43.8,104.5,2.7
2020-01-01 02:00:00Z,59.4,33.6,53.4,115.4,3.0
2020-01-01 03:00:00Z,50.6,29.5,31.8,78.2,2.1
2020-01-01 04:00:00Z,31.1,32.4,12.4,51.3,4.8
2020-01-01 05:00:00Z,14.8,27.1,5.2,35.1,14.0
2020-01-01 06:00:00Z,10.0,31.3,6.1,40.7,11.3
2020-01-01 07:00:00Z,12.2,38.2,18.7,67.0,2.3
2020-01-01 08:00:00Z,16.7,30.6,17.6,57.6,2.1
2020-01-01 09:00:00Z,15.2,26.3,17.6,53.2,2.8
2020-01-01 10:00:00Z,17.3,23.9,19.0,53.0,4.9
2020-01-01 11:00:00Z,18.0,25.8,21.9,59.4,5.5
2020-01-01 12:00:00Z,17.6,28.2,20.7,59.9,6.5
2020-01-01 13:00:00Z,21.2,30.1,25.2,68.8,5.5
2020-01-01 14:00:00Z,24.5,30.5,23.1,66.0,5.4
2020-01-01 15:00:00Z,25.3,32.1,22.7,66.9,4.1
2020-01-01 16:00:00Z,23.4,32.5,19.8,62.9,3.7
2020-01-01 17:00:00Z,23.1,32.2,20.4,63.5,2.2
2020-01-01 18:00:00Z,23.1,34.0,28.6,77.8,2.0
2020-01-01 19:00:00Z,23.0,33.6,23.8,70.1,2.0
2020-01-01 20:00:00Z,23.7,31.6,24.4,69.0,2.1
2020-01-01 21:00:00Z,22.5,29.6,20.4,60.8,2.2
2020-01-01 22:00:00Z,21.2,28.5,17.0,54.6,2.3
2020-01-01 23:00:00Z,20.2,26.8,13.6,47.7,2.4
2020-01-02 00:00:00Z,19.5,24.9,10.1,40.2,2.6
2020-01-02 01:00:00Z,20.3,25.0,13.5,45.8,2.0
2020-01-02 02:00:00Z,16.6,23.5,9.9,38.7,2.9
2020-01-02 03:00:00Z,13.4,23.6,8.4,36.4,3.6
2020-01-02 04:00:00Z,12.9,23.8,9.0,37.5,2.7
2020-01-02 05:00:00Z,14.3,25.5,12.4,44.6,2.0
2020-01-02 06:00:00Z,13.6,28.8,22.5,63.2,2.0
2020-01-02 07:00:00Z,14.8,33.6,41.7,97.5,1.9
2020-01-02 08:00:00Z,,37.5,62.5,133.2,2.0
2020-01-02 09:00:00Z,,42.5,74.9,157.4,2.4
2020-01-02 10:00:00Z,16.1,45.7,55.6,131.0,4.2
2020-01-02 11:00:00Z,14.8,47.4,25.5,86.6,10.1
2020-01-02 12:00:00Z,12.1,39.8,10.0,55.1,18.6
2020-01-02 13:00:00Z,10.5,41.3,10.6,57.6,18.4
2020-01-02 14:00:00Z,10.0,40.0,7.3,51.3,24.3
2020-01-02 15:00:00Z,8.8,35.8,5.0,43.3,31.5
2020-01-02 16:00:00Z,9.0,44.8,5.2,52.8,26.3
2020-01-02 17:00:00Z,7.7,47.7,3.9,53.7,21.2
2020-01-02 18:00:00Z,11.3,58.5,10.3,74.3,8.7
2020-01-02 19:00:00Z,14.4,47.7,7.5,59.1,12.5
2020-01-02 20:00:00Z,16.0,48.6,9.9,63.9,9.5
2020-01-02 21:00:00Z,19.2,43.3,6.7,53.7,14.5
2020-01-02 22:00:00Z,17.8,29.8,2.5,33.6,30.3
2020-01-02 23:00:00Z,15.7,20.6,1.3,22.7,41.0
2020-01-03 00:00:00Z,14.6,17.5,1.0,19.1,43.5
2020-01-03 01:00:00Z,13.2,14.5,0.8,15.7,45.3
2020-01-03 02:00:00Z,14.1,12.1,0.4,12.8,45.8
2020-01-03 03:00:00Z,13.6,13.5,0.5,14.3,45.9
2020-01-03 04:00:00Z,13.2,12.5,0.5,13.3,46.9
2020-01-03 05:00:00Z,13.9,13.3,0.8,14.6,44.6
2020-01-03 06:00:00Z,14.0,16.3,1.3,18.3,41.5
2020-01-03 07:00:00Z,13.6,24.3,2.4,28.0,32.7
2020-01-03 08:00:00Z,12.5,26.5,2.9,31.0,29.9
2020-01-03 09:00:00Z,10.4,33.4,4.9,41.0,23.4
2020-01-03 10:00:00Z,10.5,30.8,6.9,41.3,33.2
2020-01-03 11:00:00Z,9.9,25.5,5.8,34.3,45.3
2020-01-03 12:00:00Z,11.5,22.3,4.4,29.0,52.9
2020-01-03 13:00:00Z,9.3,15.7,2.0,18.9,62.4
2020-01-03 14:00:00Z,8.4,24.3,3.0,29.0,52.4
2020-01-03 15:00:00Z,7.6,23.8,2.7,27.9,53.5
2020-01-03 16:00:00Z,7.8,29.0,2.6,33.1,46.9
2020-01-03 17:00:00Z,7.4,33.3,3.2,38.2,41.0
2020-01-03 18:00:00Z,7.2,52.6,8.8,66.1,21.4
2020-01-03 19:00:00Z,7.3,43.5,7.2,54.6,27.5
2020-01-03 20:00:00Z,8.6,38.5,7.7,50.3,28.1
2020-01-03 21:00:00Z,15.9,36.5,6.3,46.1,31.4
2020-01-03 22:00:00Z,15.2,35.5,5.4,43.9,37.5
2020-01-03 23:00:00Z,9.6,29.5,3.8,35.3,51.7
2020-01-04 00:00:00Z,10.1,30.2,3.4,35.4,45.2
2020-01-04 01:00:00Z,10.1,25.1,2.9,29.6,48.1
2020-01-04 02:00:00Z,13.0,30.7,2.0,33.8,41.7
2020-01-04 03:00:00Z,16.8,28.9,1.3,30.9,39.8
2020-01-04 04:00:00Z,14.4,29.7,1.7,32.4,36.8
