,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-01 01:00:00Z,13.3,7.6,11.1,1.1,12.8,49.5
2023-01-01 02:00:00Z,13.8,7.7,10.4,0.8,11.7,48.7
2023-01-01 03:00:00Z,12.5,7.0,10.2,1.1,11.9,48.2
2023-01-01 04:00:00Z,12.3,6.4,9.0,1.0,10.7,49.1
2023-01-01 05:00:00Z,9.5,5.1,9.3,1.1,11.0,48.8
2023-01-01 06:00:00Z,14.8,9.1,8.9,0.8,10.1,51.6
2023-01-01 07:00:00Z,13.8,8.5,8.6,0.9,10.0,51.8
2023-01-01 08:00:00Z,18.5,11.6,8.9,0.7,9.9,53.6
2023-01-01 09:00:00Z,11.8,9.3,9.4,1.5,11.8,54.2
2023-01-01 10:00:00Z,14.4,6.4,10.5,1.0,12.0,52.2
2023-01-01 11:00:00Z,13.2,4.8,13.4,1.6,15.8,47.4
2023-01-01 12:00:00Z,15.4,9.1,16.8,1.7,19.6,42.7
2023-01-01 13:00:00Z,12.9,8.9,21.1,1.8,23.7,38.7
2023-01-01 14:00:00Z,15.2,9.1,28.7,3.3,33.7,29.0
2023-01-01 15:00:00Z,15.0,9.5,25.7,3.1,30.4,24.2
2023-01-01 16:00:00Z,15.1,11.7,28.7,4.2,35.0,17.4
2023-01-01 17:00:00Z,16.3,10.9,29.9,3.2,34.8,17.1
2023-01-01 18:00:00Z,19.6,13.1,37.8,5.0,45.5,9.0
2023-01-01 19:00:00Z,22.0,15.7,43.0,8.7,56.3,5.3
2023-01-01 20:00:00Z,26.7,21.6,45.9,10.2,61.6,4.7
2023-01-01 21:00:00Z,25.5,22.0,38.1,4.6,45.1,17.5
2023-01-01 22:00:00Z,25.0,18.1,31.5,3.1,36.4,28.7
2023-01-01 23:00:00Z,18.9,12.9,19.9,1.6,22.3,42.0
2023-01-02 00:00:00Z,13.6,10.8,8.9,0.9,10.2,57.0
2023-01-02 01:00:00Z,7.8,6.4,6.9,0.8,8.1,58.6
2023-01-02 02:00:00Z,7.4,6.1,7.3,0.9,8.7,58.7
2023-01-02 03:00:00Z,8.6,6.4,7.6,0.8,8.8,57.9
2023-01-02 04:00:00Z,5.0,5.9,7.3,0.8,8.5,64.2
2023-01-02 05:00:00Z,1.2,2.3,9.1,0.9,10.6,66.0
2023-01-02 06:00:00Z,0.2,2.5,14.1,1.2,16.0,58.5
2023-01-02 07:00:00Z,0.4,1.1,20.4,1.2,22.3,50.5
2023-01-02 08:00:00Z,,0.4,23.7,1.4,25.9,49.7
2023-01-02 09:00:00Z,0.8,2.5,25.7,2.2,29.1,50.4
2023-01-02 10:00:00Z,4.4,4.1,22.2,1.7,24.9,53.7
2023-01-02 11:00:00Z,4.4,3.9,19.3,2.0,22.3,55.0
2023-01-02 12:00:00Z,4.1,2.7,16.6,2.6,20.5,58.5
2023-01-02 13:00:00Z,1.7,1.5,13.9,2.2,17.4,62.1
2023-01-02 14:00:00Z,5.4,3.7,12.4,2.6,16.4,64.7
2023-01-02 15:00:00Z,7.4,3.5,12.3,1.8,15.0,66.8
2023-01-02 16:00:00Z,8.2,5.8,20.0,2.0,23.0,58.7
2023-01-02 17:00:00Z,8.6,3.8,32.7,2.2,36.1,44.9
2023-01-02 18:00:00Z,8.1,5.8,42.2,2.4,45.9,36.3
2023-01-02 19:00:00Z,10.8,6.7,41.3,2.1,44.6,31.9
2023-01-02 20:00:00Z,13.6,11.4,44.4,2.6,48.4,28.4
2023-01-02 21:00:00Z,15.4,11.0,34.7,1.4,36.9,37.9
2023-01-02 22:00:00Z,11.9,9.4,36.5,2.0,39.7,34.7
2023-01-02 23:00:00Z,11.0,8.6,36.7,2.1,39.8,28.0
2023-01-03 00:00:00Z,17.8,12.3,55.9,6.9,66.6,3.8
2023-01-03 01:00:00Z,20.4,16.4,46.1,4.6,53.2,8.3
2023-01-03 02:00:00Z,16.2,10.8,32.5,1.9,35.3,21.1
2023-01-03 03:00:00Z,12.0,9.6,25.7,1.5,28.0,27.3
2023-01-03 04:00:00Z,9.1,8.5,27.8,1.7,30.5,23.9
2023-01-03 05:00:00Z,12.3,6.9,19.8,1.7,22.3,44.2
2023-01-03 06:00:00Z,11.9,7.1,16.7,1.5,19.0,50.0
2023-01-03 07:00:00Z,8.6,6.0,27.6,2.4,31.2,39.5
2023-01-03 08:00:00Z,8.0,7.5,37.8,2.4,41.5,31.9
2023-01-03 09:00:00Z,12.8,4.7,31.2,2.6,35.2,40.1
2023-01-03 10:00:00Z,16.0,8.1,33.5,5.5,41.9,33.8
2023-01-03 11:00:00Z,17.7,10.2,27.8,5.5,36.2,40.0
2023-01-03 12:00:00Z,17.0,9.9,22.9,4.7,30.2,45.3
2023-01-03 13:00:00Z,11.5,8.4,21.5,4.2,28.0,46.4
2023-01-03 14:00:00Z,14.3,8.0,18.6,3.0,23.3,51.3
2023-01-03 15:00:00Z,13.6,8.7,22.2,2.5,25.9,48.3
2023-01-03 16:00:00Z,14.9,7.8,23.6,1.9,26.7,48.0
2023-01-03 17:00:00Z,14.9,7.1,25.2,1.5,27.4,45.2
2023-01-03 18:00:00Z,15.8,7.5,29.8,1.6,32.4,37.6
2023-01-03 19:00:00Z,19.4,11.7,29.6,1.7,32.3,33.9
2023-01-03 20:00:00Z,19.2,12.2,25.2,2.2,28.5,38.6
2023-01-03 21:00:00Z,16.9,10.1,20.0,1.3,22.0,44.8
2023-01-03 22:00:00Z,11.4,7.9,14.5,1.1,16.2,56.0
2023-01-03 23:00:00Z,8.8,6.4,9.3,0.8,10.5,64.9
2023-01-04 00:00:00Z,6.8,6.2,8.4,0.7,9.5,64.5
2023-01-04 01:00:00Z,7.6,6.9,7.2,0.6,8.2,64.9
2023-01-04 02:00:00Z,7.2,7.6,6.7,0.9,8.1,65.1
2023-01-04 03:00:00Z,8.4,7.1,6.0,0.9,7.4,65.5
2023-01-04 04:00:00Z,9.2,5.9,6.3,0.9,7.8,65.3
2023-01-04 05:00:00Z,8.7,4.4,7.2,0.9,8.5,64.1
2023-01-04 06:00:00Z,4.8,2.4,10.8,1.1,12.4,59.0
2023-01-04 07:00:00Z,8.5,6.5,16.3,1.6,18.6,51.6
2023-01-04 08:00:00Z,5.0,3.6,20.7,1.8,23.4,47.4
2023-01-04 09:00:00Z,5.9,3.5,22.2,1.6,24.7,47.1
2023-01-04 10:00:00Z,7.5,3.2,19.3,1.8,22.0,49.3
2023-01-04 11:00:00Z,6.7,4.3,17.4,1.8,20.2,51.2
2023-01-04 12:00:00Z,6.8,5.6,15.4,1.7,18.1,51.3
2023-01-04 13:00:00Z,4.4,5.2,17.0,2.0,20.1,48.0
2023-01-04 14:00:00Z,6.4,7.0,17.8,1.8,20.5,47.8
2023-01-04 15:00:00Z,4.2,2.8,21.9,2.1,25.0,41.9
2023-01-04 16:00:00Z,5.8,3.0,22.1,2.0,25.2,46.2
2023-01-04 17:00:00Z,2.5,4.1,21.2,1.6,23.7,48.7
2023-01-04 18:00:00Z,3.2,4.7,21.5,1.6,23.9,47.3
2023-01-04 19:00:00Z,4.1,5.3,19.6,1.5,22.1,48.6
